[09:11:26 INF] Usage: Total CPU 0.00% | App CPU 0.00% | App Heap 3.59MB
[09:11:27 INF] Usage: Total CPU 25.12% | App CPU 2.33% | App Heap 4.94MB
[09:11:28 INF] Usage: Total CPU 34.50% | App CPU 2.80% | App Heap 5.26MB
[09:11:29 INF] Usage: Total CPU 19.02% | App CPU 0.06% | App Heap 5.32MB
[09:11:30 INF] Usage: Total CPU 12.19% | App CPU 0.00% | App Heap 5.32MB
[09:11:31 INF] Usage: Total CPU 7.36% | App CPU 0.06% | App Heap 5.32MB
[09:11:32 INF] Usage: Total CPU 8.54% | App CPU 0.13% | App Heap 5.33MB
[09:11:33 INF] Usage: Total CPU 5.64% | App CPU 0.00% | App Heap 5.32MB
[09:11:34 INF] Usage: Total CPU 13.26% | App CPU 0.06% | App Heap 5.31MB
[09:11:35 INF] Usage: Total CPU 7.10% | App CPU 0.00% | App Heap 5.27MB
[09:11:36 INF] Usage: Total CPU 6.45% | App CPU 0.00% | App Heap 5.27MB
[09:11:37 INF] Usage: Total CPU 6.24% | App CPU 0.00% | App Heap 5.28MB
[09:11:38 INF] Usage: Total CPU 4.88% | App CPU 0.06% | App Heap 5.27MB
[09:11:39 INF] Usage: Total CPU 5.90% | App CPU 0.00% | App Heap 5.28MB
[09:11:40 INF] Usage: Total CPU 1.29% | App CPU 0.06% | App Heap 5.28MB
[09:11:41 INF] Usage: Total CPU 2.33% | App CPU 0.00% | App Heap 5.27MB
[09:11:42 INF] Usage: Total CPU 3.41% | App CPU 1.54% | App Heap 5.28MB
[09:11:43 INF] Usage: Total CPU 1.97% | App CPU 0.06% | App Heap 5.27MB
[09:11:44 INF] Usage: Total CPU 3.73% | App CPU 0.00% | App Heap 5.27MB
[09:11:45 INF] Usage: Total CPU 18.90% | App CPU 0.00% | App Heap 5.27MB
[09:11:46 INF] Usage: Total CPU 12.70% | App CPU 0.06% | App Heap 5.27MB
[09:11:47 INF] Usage: Total CPU 12.92% | App CPU 0.00% | App Heap 5.27MB
[09:11:48 INF] Usage: Total CPU 10.13% | App CPU 0.00% | App Heap 5.27MB
[09:11:49 INF] Usage: Total CPU 7.76% | App CPU 0.00% | App Heap 5.27MB
[09:11:50 INF] Usage: Total CPU 3.28% | App CPU 0.06% | App Heap 5.28MB
[09:11:51 INF] Usage: Total CPU 10.74% | App CPU 0.00% | App Heap 5.27MB
[09:11:52 INF] Usage: Total CPU 17.98% | App CPU 0.06% | App Heap 5.27MB
[09:11:53 INF] Usage: Total CPU 12.82% | App CPU 0.00% | App Heap 5.27MB
[09:11:54 INF] Usage: Total CPU 12.70% | App CPU 1.20% | App Heap 5.27MB
[09:11:55 INF] Usage: Total CPU 15.64% | App CPU 0.13% | App Heap 5.27MB
[09:11:56 INF] Usage: Total CPU 6.60% | App CPU 0.06% | App Heap 5.28MB
[09:11:57 INF] Usage: Total CPU 3.56% | App CPU 1.74% | App Heap 5.27MB
[09:11:58 INF] Usage: Total CPU 3.23% | App CPU 0.06% | App Heap 5.27MB
